id,created_at,title,release_date,catalog,bandcamp_id,bandcamp_link,cover_url,description,artist_id
1,2025-10-24 18:16:02.250792+00,Power Relations,2025-04-30,SHI010,309505626,https://shishirecords.bandcamp.com/album/power-relations,https://f4.bcbits.com/img/a2810158046_10.jpg,,1
2,2025-10-24 18:16:02.250792+00,Frozen Heart,2024-08-20,SHI009,3016578035,https://shishirecords.bandcamp.com/album/frozen-heart,https://f4.bcbits.com/img/a2340981641_10.jpg,,2
3,2025-10-24 18:16:02.250792+00,Specters and Hunters,2024-04-25,SHIVA009,795169516,https://shishirecords.bandcamp.com/album/specters-and-hunters,https://f4.bcbits.com/img/a4188562871_10.jpg,,3
4,2025-10-24 18:16:02.250792+00,Separado De La Realidad,2023-10-25,SHI008,1270006487,https://shishirecords.bandcamp.com/album/separado-de-la-realidad,https://f4.bcbits.com/img/a1403638124_10.jpg,,11
5,2025-10-24 18:16:02.250792+00,Tainted,2023-07-25,SHI007,3006073360,https://shishirecords.bandcamp.com/album/tainted,https://f4.bcbits.com/img/a3782870945_10.jpg,,4
6,2025-10-24 18:16:02.250792+00,Midnight Grave Diggers,2023-06-15,SHIVA008,2274630852,https://shishirecords.bandcamp.com/album/midnight-grave-diggers,https://f4.bcbits.com/img/a0128721303_10.jpg,,3
7,2025-10-24 18:16:02.250792+00,Hellbound,2023-02-10,SHI006,4256596489,https://shishirecords.bandcamp.com/album/hellbound,https://f4.bcbits.com/img/a2853025882_10.jpg,,5
8,2025-10-24 18:16:02.250792+00,Unholy Body Tempo,2022-12-25,SHIVA007,1054878599,https://shishirecords.bandcamp.com/album/unholy-body-tempo,https://f4.bcbits.com/img/a0689517751_10.jpg,,3
9,2025-10-24 18:16:02.250792+00,Scowl,2022-10-31,SHI005,98549105,https://shishirecords.bandcamp.com/album/scowl,https://f4.bcbits.com/img/a3740134137_10.jpg,,13
10,2025-10-24 18:16:02.250792+00,Social Coma,2022-09-25,SHI004,1353136953,https://shishirecords.bandcamp.com/album/social-coma,https://f4.bcbits.com/img/a1506590020_10.jpg,,9
11,2025-10-24 18:16:02.250792+00,Vampire Vengeance,2022-06-30,SHI003,1105235633,https://shishirecords.bandcamp.com/album/vampire-vengeance,https://f4.bcbits.com/img/a1244008505_10.jpg,,8
12,2025-10-24 18:16:02.250792+00,Omnia Fert Aetas,2022-02-18,SHI002,2555652574,https://shishirecords.bandcamp.com/album/omnia-fert-aetas,https://f4.bcbits.com/img/a0023287765_10.jpg,,7
13,2025-10-24 18:16:02.250792+00,Terrorize Mortals,2021-10-15,SHIVA006,2486876755,https://shishirecords.bandcamp.com/album/terrorize-mortals,https://f4.bcbits.com/img/a3957084307_10.jpg,,3
14,2025-10-24 18:16:02.250792+00,Evil Signs,2021-07-20,SHSH001,320940960,https://shishirecords.bandcamp.com/album/evil-signs,https://f4.bcbits.com/img/a3534599095_10.jpg,,10
15,2025-10-24 18:16:02.250792+00,Roots,2021-06-20,SHIVA005,1839515375,https://shishirecords.bandcamp.com/album/roots,https://f4.bcbits.com/img/a2113351482_10.jpg,,3
16,2025-10-24 18:16:02.250792+00,Nights,2021-05-01,SHI001,4146128705,https://shishirecords.bandcamp.com/album/nights,https://f4.bcbits.com/img/a1886269006_10.jpg,,6
17,2025-10-24 18:16:02.250792+00,Universidad de Vampiros,2021-03-25,SHIVA004,3198113336,https://shishirecords.bandcamp.com/album/universidad-de-vampiros,https://f4.bcbits.com/img/a1519121998_10.jpg,,3
18,2025-10-24 18:16:02.250792+00,Cardiomyopathy,2020-12-30,SHIVA003,1594150963,https://shishirecords.bandcamp.com/album/cardiomyopathy,https://f4.bcbits.com/img/a0587566660_10.jpg,,3
19,2025-10-24 18:16:02.250792+00,Tortura Para Todos,2020-10-29,SHIVA002,2239413450,https://shishirecords.bandcamp.com/album/tortura-para-todos,https://f4.bcbits.com/img/a0367486176_10.jpg,,3
20,2025-10-24 18:16:02.250792+00,Sect of Serpents,2020-06-20,SHIVA001,1698110341,https://shishirecords.bandcamp.com/album/sect-of-serpents,https://f4.bcbits.com/img/a1317079481_10.jpg,,3
