id,created_at,name,bio,profile_url
1,2025-10-24 17:46:32.927745+00,Lucas Novaes,,
2,2025-10-24 17:46:32.927745+00,Revolt,,
3,2025-10-24 17:46:32.927745+00,Various Artists,,
4,2025-10-24 17:46:32.927745+00,SPÆCIALISTA,,
5,2025-10-24 17:46:32.927745+00,Rōnin,,
6,2025-10-24 17:46:32.927745+00,Damaged Clock,,
7,2025-10-24 17:46:32.927745+00,Endless Nothing,,
8,2025-10-24 17:46:32.927745+00,SACRÉ,,
9,2025-10-24 17:46:32.927745+00,EXTENSIVE INFARCTION,,
10,2025-10-24 17:46:32.927745+00,Terror Cognitive Dissonance,,
11,2025-10-24 17:46:32.927745+00,RED DEVIIL,,
12,2025-10-24 17:46:32.927745+00,Hålbå,,
13,2025-11-02 11:42:55.284995+00,Sawdust,NULL,NULL
